,Main food description,WWEIA Category description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added
(mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"4:0
(g)","6:0
(g)","8:0
(g)","10:0
(g)","12:0
(g)","14:0
(g)","16:0
(g)","18:0
(g)","16:1
(g)","18:1
(g)","20:1
(g)","22:1
(g)","18:2
(g)","18:3
(g)","18:4
(g)","20:4
(g)","20:5 n-3
(g)","22:5 n-3
(g)","22:6 n-3
(g)","Water
(g)",Kosher_Status,Halal_Status,Hinduism_Status,Buddhism_Status,Rastafarianism_Status,Diabetic_Status,Low_Sodium_Status,Low_Fat_Status,Low_Cholesterol_Status,Fructose_Intolerance_Status,Nightshade_Sensitivity_Status,Histamine_Intolerance_Status,Vegan_Status,Vegetarian_Status,Pescatarian_Status,Raw_Food_Diet_Status,Paleo_Status,Keto_Status,Lactose_Intolerance_Status,Gluten_Intolerance_Status,Nut_Allergy_Status,Shellfish_Allergy_Status,Fish_Allergy_Status,Soy_Allergy_Status
0,"Milk, NFS","Milk, reduced fat",52,3.33,4.83,4.88,0.0,2.14,1.249,0.458,0.07,9,57,58,0,4,0,0,0,0.057,0.137,0.11,0.061,0,1,1,1,17.9,0.56,0.0,0.1,1.1,0.03,0.0,0.2,125,103,12,0.0,0.43,0.001,1.9,156,39,0,0,0.0,0.046,0.036,0.023,0.056,0.065,0.204,0.576,0.208,0.032,0.465,0.002,0.0,0.074,0.008,0.0,0.003,0.0,0.001,0.0,88.92,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Milk, whole","Milk, whole",61,3.27,4.63,4.81,0.0,3.2,1.86,0.688,0.108,12,31,32,0,7,0,0,0,0.056,0.138,0.105,0.061,0,0,0,0,17.8,0.54,0.0,0.0,1.1,0.05,0.0,0.3,123,101,12,0.0,0.42,0.001,1.9,150,38,0,0,0.0,0.067,0.054,0.034,0.084,0.097,0.303,0.857,0.309,0.047,0.694,0.004,0.0,0.115,0.013,0.0,0.004,0.001,0.002,0.0,88.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Milk, reduced fat (2%)","Milk, reduced fat",50,3.36,4.9,4.89,0.0,1.9,1.11,0.4,0.058,8,83,83,0,3,0,0,0,0.059,0.137,0.112,0.061,0,2,2,2,18.2,0.55,0.0,0.2,1.1,0.03,0.0,0.2,126,103,12,0.0,0.43,0.001,1.8,159,39,0,0,0.0,0.041,0.032,0.021,0.049,0.058,0.181,0.512,0.184,0.029,0.41,0.002,0.0,0.061,0.007,0.0,0.003,0.0,0.001,0.0,89.1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Milk, low fat (1%)","Milk, lowfat",43,3.38,5.18,4.96,0.0,0.95,0.568,0.21,0.032,5,58,58,0,1,0,0,0,0.057,0.14,0.113,0.06,0,2,2,2,17.4,0.61,0.0,0.0,1.1,0.02,0.0,0.1,126,103,12,0.0,0.43,0.001,2.1,159,39,0,0,0.0,0.022,0.015,0.011,0.023,0.026,0.093,0.265,0.096,0.014,0.214,0.001,0.0,0.033,0.004,0.0,0.001,0.0,0.0,0.0,89.7,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0
4,Buttermilk,"Milk, whole",43,3.46,4.81,5.36,0.0,1.08,0.552,0.199,0.033,5,36,36,0,0,0,0,0,0.048,0.196,0.128,0.039,0,5,5,5,17.7,0.22,0.0,1.0,0.5,0.05,0.0,0.1,120,92,11,0.01,0.43,0.001,2.0,158,92,0,0,0.0,0.029,0.017,0.01,0.022,0.028,0.089,0.258,0.085,0.02,0.221,0.0,0.0,0.022,0.013,0.0,0.0,0.0,0.0,0.0,89.79,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
5,Kefir,"Milk, lowfat",52,3.59,7.48,6.91,0.0,0.96,0.596,0.286,0.047,5,174,174,0,2,0,0,0,0.03,0.172,0.128,0.059,0,18,18,18,15.2,0.3,0.0,0.8,1.0,0.04,0.0,0.6,124,100,12,0.04,0.45,0.009,3.6,159,38,0,0,0.0,0.027,0.016,0.007,0.02,0.026,0.094,0.28,0.106,0.019,0.252,0.004,0.0,0.038,0.006,0.0,0.002,0.0,0.001,0.0,87.26,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0
6,Goat milk,"Milk, whole",69,3.56,4.45,4.45,0.0,4.14,2.667,1.109,0.149,11,56,57,0,7,0,0,0,0.048,0.138,0.277,0.046,0,1,1,1,16.0,0.07,0.0,1.3,1.3,0.07,0.0,0.3,134,111,14,0.05,0.3,0.046,1.4,204,50,0,0,0.0,0.128,0.094,0.096,0.26,0.124,0.325,0.911,0.441,0.082,0.977,0.0,0.0,0.109,0.04,0.0,0.0,0.0,0.0,0.0,87.03,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0
7,"Non-dairy milk, NFS",Plant-based milk,31,1.14,3.04,2.03,0.1,1.6,0.159,0.782,0.509,0,35,35,0,0,0,0,3,0.017,0.038,0.1,0.012,0,4,4,4,6.8,0.38,0.38,0.0,1.0,2.07,1.97,0.9,153,35,10,0.32,0.2,0.039,0.7,52,51,0,0,0.0,0.002,0.0,0.0,0.0,0.0,0.002,0.113,0.033,0.005,0.767,0.009,0.0,0.447,0.063,0.0,0.0,0.0,0.0,0.0,93.75,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Soy milk, sweetened",Plant-based milk,53,3.41,5.22,4.53,0.0,2.05,0.301,0.399,1.104,0,56,56,0,0,0,0,8,0.06,0.081,0.227,0.053,0,19,19,19,22.7,0.37,0.37,0.0,0.7,0.15,0.0,2.9,97,66,21,0.52,0.3,0.104,1.8,152,33,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.209,0.07,0.002,0.394,0.005,0.0,0.949,0.159,0.0,0.0,0.0,0.0,0.0,88.7,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1
9,"Soy milk, unsweetened",Plant-based milk,38,3.55,1.29,0.56,0.0,2.12,0.314,0.416,1.15,0,58,58,0,0,0,0,8,0.063,0.084,0.236,0.055,0,20,20,20,23.6,0.39,0.39,0.0,0.7,0.16,0.0,3.0,101,69,22,0.54,0.31,0.108,1.9,158,34,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.218,0.073,0.002,0.41,0.005,0.0,0.989,0.166,0.0,0.0,0.0,0.0,0.0,92.4,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1
